Category,Score
Acoustic Standards,2
Active Lifestyle,4
Affordable Homes,3
Air Quality,3
Biodiversity,3
Car Parking,2
Character,4
Circular Economy,2
Co2 emmisions,4
Community Support,4
Construction Innovation,4
Construction Waste,3
Context and built forms,4
Cycling,4
Daylight,2
Disruption,2
distictiveness,3
Diversity,2
Embodies Co2,3
Ex. Air quality,3
Green networks,2
Habitat Creation,2
Heat island,2
Job Creation,4
Landscape Cahracter,4
Laow Carbon transport,3
Local economy,4
Long Term Empl. opp.,3
Mixed use and lifespane,3
Movement,4
Noise Pollution,4
Overheating,3
Play spaces,3
Public Transport,3
Raiunwater harvestung,2
Social Innovation,2
Stewardship,2
SUDs,3
Sustaiable Innovation,3
Training,4
Urban Greening,2
Walking,3
water,3
Water Management,4
Wind comfort,3